    ,name                  ,class_name  ,input_shape          ,output_shape         ,nb_params
117 ,layer3.3.conv3        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 1024, 14, 14)" ,tensor(262144)
118 ,layer3.3.bn3          ,BatchNorm2d ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(2048)
119 ,layer3.3.relu         ,ReLU        ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,0
120 ,layer3.3              ,Bottleneck  ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(1117184)
121 ,layer3.4.conv1        ,Conv2d      ,"(-1, 1024, 14, 14)" ,"(-1, 256, 14, 14)"  ,tensor(262144)
122 ,layer3.4.bn1          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
123 ,layer3.4.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
124 ,layer3.4.conv2        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(589824)
125 ,layer3.4.bn2          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
126 ,layer3.4.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
127 ,layer3.4.conv3        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 1024, 14, 14)" ,tensor(262144)
128 ,layer3.4.bn3          ,BatchNorm2d ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(2048)
129 ,layer3.4.relu         ,ReLU        ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,0
130 ,layer3.4              ,Bottleneck  ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(1117184)
131 ,layer3.5.conv1        ,Conv2d      ,"(-1, 1024, 14, 14)" ,"(-1, 256, 14, 14)"  ,tensor(262144)
132 ,layer3.5.bn1          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
133 ,layer3.5.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
134 ,layer3.5.conv2        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(589824)
135 ,layer3.5.bn2          ,BatchNorm2d ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,tensor(512)
136 ,layer3.5.relu         ,ReLU        ,"(-1, 256, 14, 14)"  ,"(-1, 256, 14, 14)"  ,0
137 ,layer3.5.conv3        ,Conv2d      ,"(-1, 256, 14, 14)"  ,"(-1, 1024, 14, 14)" ,tensor(262144)
138 ,layer3.5.bn3          ,BatchNorm2d ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(2048)
139 ,layer3.5.relu         ,ReLU        ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,0
140 ,layer3.5              ,Bottleneck  ,"(-1, 1024, 14, 14)" ,"(-1, 1024, 14, 14)" ,tensor(1117184)
141 ,layer4.0.conv1        ,Conv2d      ,"(-1, 1024, 14, 14)" ,"(-1, 512, 14, 14)"  ,tensor(524288)
142 ,layer4.0.bn1          ,BatchNorm2d ,"(-1, 512, 14, 14)"  ,"(-1, 512, 14, 14)"  ,tensor(1024)
143 ,layer4.0.relu         ,ReLU        ,"(-1, 512, 14, 14)"  ,"(-1, 512, 14, 14)"  ,0
144 ,layer4.0.conv2        ,Conv2d      ,"(-1, 512, 14, 14)"  ,"(-1, 512, 7, 7)"    ,tensor(2359296)
145 ,layer4.0.bn2          ,BatchNorm2d ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,tensor(1024)
146 ,layer4.0.relu         ,ReLU        ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,0
147 ,layer4.0.conv3        ,Conv2d      ,"(-1, 512, 7, 7)"    ,"(-1, 2048, 7, 7)"   ,tensor(1048576)
148 ,layer4.0.bn3          ,BatchNorm2d ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,tensor(4096)
149 ,layer4.0.downsample.0 ,Conv2d      ,"(-1, 1024, 14, 14)" ,"(-1, 2048, 7, 7)"   ,tensor(2097152)
150 ,layer4.0.downsample.1 ,BatchNorm2d ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,tensor(4096)
