    ,name                 ,class_name       ,input_shape          ,output_shape         ,nb_params
140 ,features.13.banch2.3 ,Conv2d           ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(2088)
141 ,features.13.banch2.4 ,BatchNorm2d      ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(464)
142 ,features.13.banch2.5 ,Conv2d           ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(53824)
143 ,features.13.banch2.6 ,BatchNorm2d      ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(464)
144 ,features.13.banch2.7 ,ReLU             ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,0
145 ,features.13          ,InvertedResidual ,"(-1, 464, 7, 7)"    ,"(-1, 464, 7, 7)"    ,tensor(111128)
146 ,features.14.banch2.0 ,Conv2d           ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(53824)
147 ,features.14.banch2.1 ,BatchNorm2d      ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(464)
148 ,features.14.banch2.2 ,ReLU             ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,0
149 ,features.14.banch2.3 ,Conv2d           ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(2088)
150 ,features.14.banch2.4 ,BatchNorm2d      ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(464)
151 ,features.14.banch2.5 ,Conv2d           ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(53824)
152 ,features.14.banch2.6 ,BatchNorm2d      ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(464)
153 ,features.14.banch2.7 ,ReLU             ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,0
154 ,features.14          ,InvertedResidual ,"(-1, 464, 7, 7)"    ,"(-1, 464, 7, 7)"    ,tensor(111128)
155 ,features.15.banch2.0 ,Conv2d           ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(53824)
156 ,features.15.banch2.1 ,BatchNorm2d      ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(464)
157 ,features.15.banch2.2 ,ReLU             ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,0
158 ,features.15.banch2.3 ,Conv2d           ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(2088)
159 ,features.15.banch2.4 ,BatchNorm2d      ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(464)
160 ,features.15.banch2.5 ,Conv2d           ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(53824)
161 ,features.15.banch2.6 ,BatchNorm2d      ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,tensor(464)
162 ,features.15.banch2.7 ,ReLU             ,"(-1, 232, 7, 7)"    ,"(-1, 232, 7, 7)"    ,0
163 ,features.15          ,InvertedResidual ,"(-1, 464, 7, 7)"    ,"(-1, 464, 7, 7)"    ,tensor(111128)
164 ,conv_last.0          ,Conv2d           ,"(-1, 464, 7, 7)"    ,"(-1, 1024, 7, 7)"   ,tensor(475136)
165 ,conv_last.1          ,BatchNorm2d      ,"(-1, 1024, 7, 7)"   ,"(-1, 1024, 7, 7)"   ,tensor(2048)
166 ,conv_last.2          ,ReLU             ,"(-1, 1024, 7, 7)"   ,"(-1, 1024, 7, 7)"   ,0
167 ,globalpool.0         ,AvgPool2d        ,"(-1, 1024, 7, 7)"   ,"(-1, 1024, 1, 1)"   ,0
168 ,classifier.0         ,Linear           ,"(-1, 1024)"         ,"(-1, 4)"            ,tensor(4100)
