    ,name                                      ,class_name              ,input_shape          ,output_shape         ,nb_params
116 ,_blocks.8._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 480, 14, 14)"  ,"(-1, 480, 18, 18)"  ,0
117 ,_blocks.8._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(12000)
118 ,_blocks.8._bn1                            ,BatchNorm2d             ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
119 ,_blocks.8._se_reduce.static_padding       ,Identity                ,"(-1, 480, 1, 1)"    ,"(-1, 480, 1, 1)"    ,0
120 ,_blocks.8._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 480, 1, 1)"    ,"(-1, 20, 1, 1)"     ,tensor(9620)
121 ,_blocks.8._se_expand.static_padding       ,Identity                ,"(-1, 20, 1, 1)"     ,"(-1, 20, 1, 1)"     ,0
122 ,_blocks.8._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 20, 1, 1)"     ,"(-1, 480, 1, 1)"    ,tensor(10080)
123 ,_blocks.8._project_conv.static_padding    ,Identity                ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,0
124 ,_blocks.8._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 480, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(53760)
125 ,_blocks.8._bn2                            ,BatchNorm2d             ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(224)
126 ,_blocks.8                                 ,MBConvBlock             ,"(-1, 80, 14, 14)"   ,"(-1, 112, 14, 14)"  ,tensor(126004)
127 ,_blocks.9._expand_conv.static_padding     ,Identity                ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,0
128 ,_blocks.9._expand_conv                    ,Conv2dStaticSamePadding ,"(-1, 112, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(75264)
129 ,_blocks.9._bn0                            ,BatchNorm2d             ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
130 ,_blocks.9._depthwise_conv.static_padding  ,ZeroPad2d               ,"(-1, 672, 14, 14)"  ,"(-1, 672, 18, 18)"  ,0
131 ,_blocks.9._depthwise_conv                 ,Conv2dStaticSamePadding ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(16800)
132 ,_blocks.9._bn1                            ,BatchNorm2d             ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
133 ,_blocks.9._se_reduce.static_padding       ,Identity                ,"(-1, 672, 1, 1)"    ,"(-1, 672, 1, 1)"    ,0
134 ,_blocks.9._se_reduce                      ,Conv2dStaticSamePadding ,"(-1, 672, 1, 1)"    ,"(-1, 28, 1, 1)"     ,tensor(18844)
135 ,_blocks.9._se_expand.static_padding       ,Identity                ,"(-1, 28, 1, 1)"     ,"(-1, 28, 1, 1)"     ,0
136 ,_blocks.9._se_expand                      ,Conv2dStaticSamePadding ,"(-1, 28, 1, 1)"     ,"(-1, 672, 1, 1)"    ,tensor(19488)
137 ,_blocks.9._project_conv.static_padding    ,Identity                ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,0
138 ,_blocks.9._project_conv                   ,Conv2dStaticSamePadding ,"(-1, 672, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(75264)
