    ,name                           ,class_name   ,input_shape          ,output_shape         ,nb_params
103 ,block.9.depth_conv.0           ,Conv2d       ,"(-1, 184, 14, 14)"  ,"(-1, 184, 14, 14)"  ,tensor(1840)
104 ,block.9.depth_conv.1           ,BatchNorm2d  ,"(-1, 184, 14, 14)"  ,"(-1, 184, 14, 14)"  ,tensor(368)
105 ,block.9.point_conv.0           ,Conv2d       ,"(-1, 184, 14, 14)"  ,"(-1, 80, 14, 14)"   ,tensor(14800)
106 ,block.9.point_conv.1           ,BatchNorm2d  ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(160)
107 ,block.9.point_conv.2           ,h_swish      ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,0
108 ,block.9                        ,MobileBlock  ,"(-1, 80, 14, 14)"   ,"(-1, 80, 14, 14)"   ,tensor(32256)
109 ,block.10.conv.0                ,Conv2d       ,"(-1, 80, 14, 14)"   ,"(-1, 480, 14, 14)"  ,tensor(38400)
110 ,block.10.conv.1                ,BatchNorm2d  ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
111 ,block.10.conv.2                ,h_swish      ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,0
112 ,block.10.depth_conv.0          ,Conv2d       ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(4800)
113 ,block.10.depth_conv.1          ,BatchNorm2d  ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(960)
114 ,block.10.squeeze_block.dense.0 ,Linear       ,"(-1, 480)"          ,"(-1, 120)"          ,tensor(57720)
115 ,block.10.squeeze_block.dense.1 ,ReLU         ,"(-1, 120)"          ,"(-1, 120)"          ,0
116 ,block.10.squeeze_block.dense.2 ,Linear       ,"(-1, 120)"          ,"(-1, 480)"          ,tensor(58080)
117 ,block.10.squeeze_block.dense.3 ,h_sigmoid    ,"(-1, 480)"          ,"(-1, 480)"          ,0
118 ,block.10.squeeze_block         ,SqueezeBlock ,"(-1, 480, 14, 14)"  ,"(-1, 480, 14, 14)"  ,tensor(115800)
119 ,block.10.point_conv.0          ,Conv2d       ,"(-1, 480, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(53872)
120 ,block.10.point_conv.1          ,BatchNorm2d  ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(224)
121 ,block.10.point_conv.2          ,h_swish      ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,0
122 ,block.10                       ,MobileBlock  ,"(-1, 80, 14, 14)"   ,"(-1, 112, 14, 14)"  ,tensor(215016)
123 ,block.11.conv.0                ,Conv2d       ,"(-1, 112, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(75264)
124 ,block.11.conv.1                ,BatchNorm2d  ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
125 ,block.11.conv.2                ,h_swish      ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,0
126 ,block.11.depth_conv.0          ,Conv2d       ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(6720)
127 ,block.11.depth_conv.1          ,BatchNorm2d  ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
128 ,block.11.squeeze_block.dense.0 ,Linear       ,"(-1, 672)"          ,"(-1, 168)"          ,tensor(113064)
129 ,block.11.squeeze_block.dense.1 ,ReLU         ,"(-1, 168)"          ,"(-1, 168)"          ,0
130 ,block.11.squeeze_block.dense.2 ,Linear       ,"(-1, 168)"          ,"(-1, 672)"          ,tensor(113568)
131 ,block.11.squeeze_block.dense.3 ,h_sigmoid    ,"(-1, 672)"          ,"(-1, 672)"          ,0
132 ,block.11.squeeze_block         ,SqueezeBlock ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(226632)
133 ,block.11.point_conv.0          ,Conv2d       ,"(-1, 672, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(75376)
134 ,block.11.point_conv.1          ,BatchNorm2d  ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(224)
135 ,block.11.point_conv.2          ,h_swish      ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,0
136 ,block.11                       ,MobileBlock  ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(386904)
137 ,block.12.conv.0                ,Conv2d       ,"(-1, 112, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(75264)
138 ,block.12.conv.1                ,BatchNorm2d  ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
139 ,block.12.conv.2                ,h_swish      ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,0
140 ,block.12.depth_conv.0          ,Conv2d       ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(17472)
141 ,block.12.depth_conv.1          ,BatchNorm2d  ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
142 ,block.12.squeeze_block.dense.0 ,Linear       ,"(-1, 672)"          ,"(-1, 168)"          ,tensor(113064)
143 ,block.12.squeeze_block.dense.1 ,ReLU         ,"(-1, 168)"          ,"(-1, 168)"          ,0
144 ,block.12.squeeze_block.dense.2 ,Linear       ,"(-1, 168)"          ,"(-1, 672)"          ,tensor(113568)
145 ,block.12.squeeze_block.dense.3 ,h_sigmoid    ,"(-1, 672)"          ,"(-1, 672)"          ,0
146 ,block.12.squeeze_block         ,SqueezeBlock ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(226632)
147 ,block.12.point_conv.0          ,Conv2d       ,"(-1, 672, 14, 14)"  ,"(-1, 160, 14, 14)"  ,tensor(107680)
148 ,block.12.point_conv.1          ,BatchNorm2d  ,"(-1, 160, 14, 14)"  ,"(-1, 160, 14, 14)"  ,tensor(320)
149 ,block.12.point_conv.2          ,h_swish      ,"(-1, 160, 14, 14)"  ,"(-1, 160, 14, 14)"  ,0
150 ,block.12                       ,MobileBlock  ,"(-1, 112, 14, 14)"  ,"(-1, 160, 14, 14)"  ,tensor(430056)
151 ,block.13.conv.0                ,Conv2d       ,"(-1, 160, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(107520)
152 ,block.13.conv.1                ,BatchNorm2d  ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
153 ,block.13.conv.2                ,h_swish      ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,0
154 ,block.13.depth_conv.0          ,Conv2d       ,"(-1, 672, 14, 14)"  ,"(-1, 672, 7, 7)"    ,tensor(17472)
155 ,block.13.depth_conv.1          ,BatchNorm2d  ,"(-1, 672, 7, 7)"    ,"(-1, 672, 7, 7)"    ,tensor(1344)
156 ,block.13.squeeze_block.dense.0 ,Linear       ,"(-1, 672)"          ,"(-1, 168)"          ,tensor(113064)
157 ,block.13.squeeze_block.dense.1 ,ReLU         ,"(-1, 168)"          ,"(-1, 168)"          ,0
158 ,block.13.squeeze_block.dense.2 ,Linear       ,"(-1, 168)"          ,"(-1, 672)"          ,tensor(113568)
159 ,block.13.squeeze_block.dense.3 ,h_sigmoid    ,"(-1, 672)"          ,"(-1, 672)"          ,0
160 ,block.13.squeeze_block         ,SqueezeBlock ,"(-1, 672, 7, 7)"    ,"(-1, 672, 7, 7)"    ,tensor(226632)
161 ,block.13.point_conv.0          ,Conv2d       ,"(-1, 672, 7, 7)"    ,"(-1, 160, 7, 7)"    ,tensor(107680)
162 ,block.13.point_conv.1          ,BatchNorm2d  ,"(-1, 160, 7, 7)"    ,"(-1, 160, 7, 7)"    ,tensor(320)
163 ,block.13.point_conv.2          ,h_swish      ,"(-1, 160, 7, 7)"    ,"(-1, 160, 7, 7)"    ,0
164 ,block.13                       ,MobileBlock  ,"(-1, 160, 14, 14)"  ,"(-1, 160, 7, 7)"    ,tensor(462312)
165 ,block.14.conv.0                ,Conv2d       ,"(-1, 160, 7, 7)"    ,"(-1, 960, 7, 7)"    ,tensor(153600)
166 ,block.14.conv.1                ,BatchNorm2d  ,"(-1, 960, 7, 7)"    ,"(-1, 960, 7, 7)"    ,tensor(1920)
167 ,block.14.conv.2                ,h_swish      ,"(-1, 960, 7, 7)"    ,"(-1, 960, 7, 7)"    ,0
168 ,block.14.depth_conv.0          ,Conv2d       ,"(-1, 960, 7, 7)"    ,"(-1, 960, 7, 7)"    ,tensor(24960)
